id,Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households
13001950100,57365
13001950200,35475
13001950300,38017
13001950400,44336
13001950500,41555
13003960100,32157
13003960200,39655
13003960300,39375
13005970100,44022
13005970201,46563
13005970202,30863
13007960100,27266
13007960200,41063
13009970100,63948
13009970200,53349
13009970300,71754
13009970400,40685
13009970500,19408
13009970600,25497
13009970701,20912
13009970702,41875
13009970800,42356
13011970100,48234
13011970200,48913
13011970300,48430
13011970400,42025
13013180103,94730
13013180104,56779
13013180105,82784
13013180106,51012
13013180107,54958
13013180108,56000
13013180203,30339
13013180204,56827
13013180205,45549
13013180206,68661
13013180301,64792
13013180302,60625
13013180303,67273
13013180401,72256
13013180402,62667
13013180501,73866
13013180502,62212
13013180503,68469
13015960101,63125
13015960102,73497
13015960200,49531
13015960300,65576
13015960401,47885
13015960402,61650
13015960500,62716
13015960600,53471
13015960700,44015
13015960801,53527
13015960802,40551
13015960803,53636
13015960901,58240
13015960902,66733
13015961000,70000
13017960100,42115
13017960200,53681
13017960300,38613
13017960400,24012
13017960500,26422
13019970100,40217
13019970200,38902
13019970300,42539
13019970400,30845
13019970500,45440
13019970600,41406
13021010100,18542
13021010200,32578
13021010300,23792
13021010400,23281
13021010500,12788
13021010800,31667
13021011000,25220
13021011100,14865
13021011500,13750
13021011701,33347
13021011702,34300
13021011800,63504
13021011900,35061
13021012000,64503
13021012101,58229
13021012102,51070
13021012200,36071
13021012300,21205
13021012400,22361
13021012500,18387
13021012600,29082
13021012700,12891
13021012800,19122
13021012900,23846
13021013101,31555
13021013102,32363
13021013201,34544
13021013202,26339
13021013302,34886
13021013407,46630
13021013408,89600
13021013409,55132
13021013410,91116
13021013411,71875
13021013502,41523
13021013503,54375
13021013504,69118
13021013603,66996
13021013604,55000
13021013605,70379
13021013606,77143
13021013700,22439
13021013800,19063
13021013900,34261
13023790100,52849
13023790200,32014
13023790300,49940
13025960100,39881
13025960200,32080
13025960300,41158
13027960200,31359
13027960300,46957
13027960400,31076
13027960500,34965
13027960600,40833
13029920101,50125
13029920102,43323
13029920301,69107
13029920303,44596
13029920305,110750
13029920306,97172
13029980000,-
13031110100,41474
13031110200,43842
13031110300,62368
13031110401,24818
13031110403,23613
13031110404,29909
13031110500,46367
13031110601,58063
13031110602,39503
13031110700,58786
13031110800,43929
13031110900,47069
13033950100,67266
13033950200,47951
13033950400,30691
13033950500,45324
13033950700,37124
13033950900,45421
13035150100,56292
13035150200,39986
13035150300,43511
13037950100,43542
13037950200,30303
13039010100,53682
13039010200,70269
13039010301,44767
13039010302,48375
13039010401,62237
13039010402,85662
13039010403,81970
13039010500,40913
13039010601,38788
13039010602,55556
13039990000,-
13043950100,28212
13043950200,37792
13043950300,45833
13045910101,52500
13045910103,70526
13045910104,61494
13045910200,58781
13045910300,48596
13045910400,44850
13045910501,38916
13045910502,20167
13045910600,62132
13045910701,52351
13045910702,76841
13045910703,48595
13045910800,51037
13045910900,58707
13045911000,68179
13045911100,55677
13045911200,48029
13047030100,51455
13047030201,52178
13047030202,67568
13047030301,67318
13047030303,64966
13047030304,70333
13047030401,72078
13047030402,59625
13047030500,40594
13047030600,55694
13047030700,39254
13049010100,39746
13049010200,58333
13051000100,12048
13051000300,60313
13051000601,22222
13051000900,45417
13051001100,37277
13051001200,15357
13051001500,21208
13051002000,27813
13051002100,39450
13051002200,38295
13051002300,26885
13051002600,47853
13051002700,32166
13051002800,32008
13051002900,94375
13051003000,72670
13051003301,34102
13051003302,40536
13051003400,56063
13051003501,25570
13051003502,40160
13051003601,27093
13051003602,34141
13051003700,45870
13051003800,43993
13051003900,48712
13051004001,53494
13051004002,42768
13051004100,63967
13051004207,41314
13051004208,42593
13051004209,41411
13051004210,41857
13051004211,66086
13051004212,54000
13051004300,46094
13051004400,28428
13051004500,31465
13051010101,67083
13051010102,56214
13051010200,63811
13051010501,39713
13051010502,38500
13051010601,41713
13051010603,58836
13051010605,-
13051010700,90393
13051010801,62373
13051010802,71161
13051010803,64704
13051010806,62276
13051010807,77996
13051010808,58111
13051010809,77892
13051010901,23787
13051011003,63250
13051011004,121473
13051011005,95649
13051011006,88821
13051011103,82147
13051011104,70224
13051011106,71210
13051011107,92428
13051011108,89459
13051011109,90305
13051011200,61477
13051011300,32833
13051011400,24552
13051011500,89063
13051011600,38583
13051980000,-
13051990000,-
13053020100,36406
13053020201,64400
13053020203,53214
13053020205,49798
13053020206,-
13055010100,50068
13055010200,36226
13055010300,39583
13055010400,36935
13055010500,27817
13055010600,44779
13057090100,74284
13057090200,89522
13057090300,84120
13057090400,46118
13057090501,91726
13057090502,126988
13057090601,54676
13057090602,70282
13057090701,90392
13057090702,72299
13057090802,100536
13057090803,103239
13057090804,97135
13057090901,105368
13057090902,90045
13057090904,64873
13057090905,63723
13057091001,53031
13057091003,50705
13057091005,66288
13057091006,111574
13057091007,103387
13057091008,91549
13057091101,88310
13057091102,74137
13057091103,73997
13059000100,8906
13059000401,19871
13059000402,7861
13059000600,21000
13059000900,19720
13059001200,62500
13059001700,61696
13059001800,48185
13059001900,45917
13059002000,51094
13059002100,23914
13059002200,51736
13059030100,20066
13059030200,21060
13059130300,41637
13059130400,64806
13059130500,60625
13059130600,41205
13059130700,60164
13059140300,33426
13059140400,36159
13059140500,20111
13059140600,43342
13059150300,59500
13059150400,26442
13059150500,23302
13059150600,33936
13059150700,43464
13059150800,67132
13059150900,74353
13061960300,22325
13063040202,33276
13063040203,39656
13063040204,42169
13063040302,35301
13063040303,38023
13063040306,35434
13063040307,41083
13063040308,28422
13063040407,49271
13063040408,44551
13063040409,49519
13063040410,49719
13063040411,57924
13063040412,46530
13063040413,54265
13063040414,40313
13063040415,31851
13063040416,53750
13063040417,40231
13063040509,64849
13063040510,49265
13063040512,41016
13063040513,63980
13063040514,43905
13063040515,38977
13063040516,56328
13063040518,43841
13063040519,33934
13063040520,37731
13063040521,45682
13063040522,38917
13063040523,41688
13063040524,48433
13063040525,42925
13063040526,54334
13063040606,45800
13063040608,68047
13063040609,58750
13063040611,40995
13063040612,34517
13063040613,75135
13063040614,95603
13063040615,62153
13063040616,58379
13063040617,33359
13063040619,66216
13063040620,72700
13063040621,62705
13063040622,51672
13063980000,-
13065970100,28913
13065970200,19297
13067030101,89819
13067030103,89863
13067030104,52119
13067030106,64326
13067030107,100857
13067030209,110000
13067030214,90469
13067030215,75463
13067030218,147696
13067030219,121469
13067030220,91838
13067030222,111122
13067030223,76559
13067030224,84429
13067030226,85264
13067030227,65673
13067030228,50172
13067030229,67768
13067030230,79243
13067030231,109602
13067030232,108375
13067030233,102868
13067030234,118810
13067030235,105819
13067030236,145938
13067030238,113047
13067030239,131750
13067030310,78692
13067030311,85197
13067030312,70437
13067030313,94408
13067030314,109192
13067030318,150164
13067030319,98938
13067030320,95114
13067030322,103639
13067030324,101250
13067030326,156037
13067030327,115223
13067030328,136076
13067030329,107072
13067030330,126546
13067030331,115375
13067030332,133646
13067030333,140345
13067030334,123966
13067030335,153889
13067030336,180536
13067030337,169188
13067030339,75532
13067030340,160750
13067030341,121167
13067030342,123281
13067030343,127375
13067030344,49206
13067030345,71676
13067030405,49406
13067030407,74196
13067030408,77577
13067030409,120156
13067030410,67993
13067030411,38994
13067030412,46094
13067030413,50325
13067030414,44578
13067030502,96667
13067030504,83611
13067030505,51744
13067030506,65259
13067030507,84545
13067030601,66991
13067030602,92684
13067030700,45298
13067030800,54205
13067030901,78655
13067030902,63838
13067030904,43158
13067030905,69261
13067031001,29016
13067031002,36536
13067031004,44507
13067031005,70771
13067031101,59093
13067031106,76182
13067031108,57610
13067031110,66154
13067031111,86115
13067031112,101548
13067031113,45917
13067031114,56370
13067031115,75123
13067031116,50054
13067031117,90967
13067031118,84936
13067031205,87910
13067031206,79192
13067031207,78977
13067031208,73611
13067031209,149583
13067031211,82330
13067031212,184000
13067031306,78824
13067031307,84342
13067031308,53227
13067031309,52960
13067031310,38231
13067031311,44250
13067031312,86808
13067031313,117366
13067031404,78671
13067031405,58530
13067031406,45363
13067031408,57975
13067031409,58739
13067031503,65530
13067031505,72940
13067031506,56458
13067031507,68688
13067031508,72361
13067031509,81583
13069010100,38395
13069010200,46887
13069010300,40409
13069010400,41725
13069010500,36760
13069010600,54107
13069010700,39408
13069010801,29716
13069010802,40250
13071970100,38750
13071970200,39615
13071970300,25833
13071970400,31914
13071970500,50000
13071970600,42342
13071970701,36331
13071970702,19137
13071970800,41528
13071970900,38786
13073030102,135465
13073030103,113229
13073030105,81575
13073030106,59450
13073030201,85354
13073030202,65000
13073030203,68898
13073030302,64644
13073030304,102138
13073030306,82255
13073030307,104232
13073030308,118042
13073030309,105750
13073030401,65938
13073030402,85000
13073030503,64701
13073030504,68819
13073030505,72593
13073030506,67807
13073030603,52699
13075960100,39653
13075960200,32311
13075960300,47808
13075960400,41935
13077170100,70008
13077170200,54070
13077170303,113257
13077170304,84496
13077170305,41199
13077170306,81297
13077170402,101437
13077170403,104661
13077170404,81150
13077170405,93811
13077170406,86741
13077170501,77542
13077170502,80625
13077170503,86981
13077170601,42679
13077170602,104295
13077170603,88521
13077170700,46250
13077170801,69344
13077170802,71908
13079070100,33917
13079070201,49009
13079070202,40625
13081010100,28338
13081010201,40058
13081010202,39222
13081010300,41918
13081010400,33065
13081010500,44408
13083040101,40453
13083040102,38877
13083040200,57574
13083040300,47802
13085970100,61507
13085970201,81979
13085970202,68011
13087970100,43185
13087970200,44688
13087970300,34506
13087970400,30366
13087970600,52517
13087970700,43533
13087970800,46731
13089020100,170096
13089020200,84867
13089020300,147614
13089020400,106103
13089020500,65694
13089020600,63313
13089020700,95417
13089020801,94662
13089020802,73981
13089020900,71618
13089021101,166563
13089021102,110504
13089021202,127957
13089021204,28242
13089021208,74922
13089021209,80692
13089021210,168967
13089021211,106389
13089021213,154063
13089021214,172279
13089021215,100348
13089021216,86828
13089021217,106216
13089021218,60254
13089021301,46667
13089021303,43309
13089021305,55109
13089021306,50118
13089021307,50362
13089021308,52813
13089021405,126644
13089021409,50666
13089021410,62951
13089021411,92404
13089021412,115759
13089021413,47885
13089021414,53222
13089021415,111827
13089021416,108203
13089021417,54575
13089021502,72537
13089021503,57381
13089021504,77708
13089021602,85417
13089021603,66425
13089021604,159306
13089021605,82454
13089021703,149306
13089021704,105033
13089021705,42679
13089021706,88778
13089021805,76066
13089021806,68216
13089021808,85543
13089021809,99337
13089021810,74539
13089021812,72935
13089021813,44883
13089021814,39085
13089021906,46448
13089021907,55048
13089021908,36250
13089021909,37269
13089021910,42305
13089021911,27835
13089021912,164926
13089021913,32983
13089022001,66638
13089022004,53341
13089022005,39266
13089022007,39216
13089022008,32672
13089022009,41042
13089022010,59583
13089022100,44135
13089022203,66731
13089022204,68523
13089022301,73819
13089022302,89146
13089022401,110775
13089022402,32083
13089022403,174531
13089022500,90648
13089022600,82131
13089022700,136324
13089022800,136711
13089022900,79400
13089023000,83021
13089023101,56487
13089023102,39961
13089023107,51222
13089023108,32258
13089023111,62969
13089023112,29786
13089023113,40542
13089023114,51105
13089023115,-
13089023204,56263
13089023206,43190
13089023208,41216
13089023209,59983
13089023210,33682
13089023211,49980
13089023212,60033
13089023213,42517
13089023214,48150
13089023303,48638
13089023306,74544
13089023309,46509
13089023310,40830
13089023311,82019
13089023312,72651
13089023313,55143
13089023314,53858
13089023315,77260
13089023316,69120
13089023410,34132
13089023411,42606
13089023412,52180
13089023413,70811
13089023414,69542
13089023416,59340
13089023418,51555
13089023419,69087
13089023421,43165
13089023422,66552
13089023423,80858
13089023424,64375
13089023425,73652
13089023426,74083
13089023427,62969
13089023428,39408
13089023501,32000
13089023504,35611
13089023505,38231
13089023506,45924
13089023507,47012
13089023601,72303
13089023602,43100
13089023603,38156
13089023700,47712
13089023801,81103
13089023802,44676
13089023803,56821
13089980000,-
13091960100,39821
13091960200,39196
13091960300,43214
13091960400,36549
13091960500,42440
13091960600,32364
13093970100,36711
13093970200,37674
13093970300,40027
13095000100,28474
13095000200,19083
13095000400,40688
13095000501,56752
13095000502,70139
13095000600,40119
13095000700,50977
13095000800,13558
13095000900,31292
13095001000,36179
13095001100,30220
13095001403,21949
13095001500,18566
13095010302,23062
13095010401,83092
13095010402,39136
13095010403,78424
13095010500,50216
13095010601,19206
13095010602,33750
13095010700,23779
13095010900,46477
13095011000,57995
13095011200,41761
13095011300,43790
13095011400,19056
13095011600,56607
13097080102,63078
13097080103,48239
13097080201,65668
13097080202,55116
13097080301,43484
13097080303,41587
13097080304,39140
13097080402,86988
13097080403,73622
13097080404,70167
13097080505,48619
13097080506,61654
13097080507,72368
13097080508,64468
13097080509,88580
13097080510,77971
13097080511,99850
13097080602,73889
13097080603,81139
13097080604,66120
13099090100,33059
13099090200,27279
13099090300,38214
13099090400,28357
13099090500,29728
13101880100,44479
13101880200,37813
13103030100,60859
13103030202,57064
13103030203,59485
13103030204,62284
13103030301,100782
13103030303,75085
13103030304,60714
13103030305,67112
13103030401,70162
13103030402,73138
13105000100,37821
13105000200,37738
13105000300,41304
13105000400,35793
13105000500,39819
13107970100,37279
13107970200,31607
13107970300,40208
13107970400,35260
13107970500,41635
13107970600,38259
13109970100,35915
13109970200,52426
13109970300,36486
13111050100,41440
13111050200,41098
13111050300,51339
13111050400,49576
13111050500,60236
13113140101,78607
13113140102,73881
13113140203,94515
13113140204,86016
13113140206,128284
13113140207,115500
13113140208,86880
13113140303,89493
13113140304,93657
13113140305,97396
13113140306,87547
13113140307,188828
13113140403,83958
13113140404,79271
13113140405,111544
13113140406,52778
13113140407,72946
13113140408,100142
13113140501,102739
13113140502,80602
13115000100,43377
13115000201,58508
13115000202,69592
13115000300,64261
13115000400,65041
13115000500,27358
13115000600,31212
13115000700,67515
13115000800,70085
13115000900,58717
13115001100,21645
13115001200,47657
13115001300,38738
13115001400,69441
13115001600,29650
13115001701,59059
13115001702,38903
13115001800,44291
13115002000,51129
13115002100,28889
13117130101,92500
13117130102,83125
13117130103,74773
13117130104,88854
13117130105,45083
13117130201,98111
13117130202,114572
13117130203,90221
13117130204,74055
13117130205,73409
13117130301,117995
13117130302,128869
13117130303,92988
13117130304,132813
13117130305,118513
13117130306,124886
13117130307,113919
13117130403,73750
13117130404,145000
13117130405,113833
13117130406,78486
13117130408,63000
13117130409,66000
13117130410,47813
13117130503,109643
13117130504,79653
13117130505,92805
13117130506,93750
13117130507,78352
13117130508,129375
13117130509,92770
13117130510,127500
13117130601,90605
13117130602,103170
13117130603,143393
13117130604,161375
13117130605,128085
13117130606,118147
13117130607,136422
13117130608,138893
13117130609,140441
13117130610,153958
13117130611,149539
13117130612,143625
13117130613,102074
13119890101,39477
13119890102,53068
13119890200,47440
13119890300,49375
13119890400,27199
13121000100,168396
13121000200,158011
13121000400,97257
13121000500,90140
13121000600,53686
13121000700,84107
13121001001,103846
13121001002,31042
13121001100,109426
13121001201,80476
13121001202,93143
13121001300,76188
13121001400,84167
13121001500,66490
13121001600,78182
13121001700,94750
13121001800,49486
13121001900,62656
13121002100,68618
13121002300,26683
13121002400,28056
13121002500,30283
13121002600,33611
13121002800,33165
13121002900,71210
13121003000,113125
13121003100,62250
13121003200,111830
13121003500,53889
13121003600,53152
13121003700,23684
13121003800,20625
13121003900,33000
13121004000,32417
13121004100,54208
13121004200,18913
13121004300,36750
13121004400,23587
13121004800,19612
13121004900,84655
13121005000,75570
13121005200,111759
13121005300,102303
13121005501,37647
13121005502,21804
13121005700,25170
13121005800,42679
13121006000,38708
13121006100,29323
13121006200,37500
13121006300,31483
13121006400,30395
13121006500,50163
13121006601,44250
13121006602,25375
13121006700,25651
